Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Agonus cataphractus,Hooknose,Agonidae,benthic,species,"76.8","39.5","175.9","0.402","0.257","0.698","0.918","0.416","2.373","17.7","16.3","19.1","18.9","9.5","43.4","14.3","5.4","38.8","0.708","0.505","1.021"
Alopias vulpinus,Thresher,Alopiidae,pelagic,species,"12","1","44","1.03","0.28","2.62","0.38","0.16","0.84","20.5","17.9","22.8","32.8","9.0","90.1","5.07","1.65","16.37","0.336","0.158","0.715"
Alosa alosa,Allis shad,Clupeidae,pelagic,species,"15.3","4.6","64.1","0.798","0.268","1.966","2.4","1.0","5.8","18.3","15.7","20.9","17.3","6.1","36.3","14.2","2.3","77.7","0.41","0.23","0.81"
Amblyraja hyperborea,Arctic skate,Rajidae,pelagic,species,"7.35","0.99","44.48","0.283","0.050","1.062","0.42","0.18","1.03","15.3","13.2","17.4","16.9","4.5","63.6","11.5","1.9","61.6","0.251","0.063","0.894"
Amblyraja radiata,Starry ray,Rajidae,pelagic,species,"13.6","2.5","44.7","0.436","0.111","1.361","0.972","0.330","3.231","14.7","12.2","17.1","17.6","3.0","58.2","12.6","3.1","50.3","0.346","0.161","0.694"
Ammodytes marinus,Lesser sand-eel,Ammodytidae,pelagic,species,"61.4","28.1","122.1","0.469","0.258","0.811","0.866","0.349","2.091","17.6","16.1","19.0","14.9","5.0","37.6","37.3","8.8","146.8","0.993","0.663","1.498"
Ammodytes tobianus,Small sandeel,Ammodytidae,pelagic,species,"92.1","37.9","193.5","0.629","0.335","1.214","0.935","0.385","2.221","17.9","16.3","19.5","18.1","5.9","44.8","18.1","4.3","75.0","0.946","0.613","1.464"
Anarhichas denticulatus,Northern wolffish,Anarhichadidae,pelagic,species,"4.97","1.79","19.10","0.188","0.077","0.509","0.199","0.106","0.376","16.3","14.2","18.8","40.2","11.1","154.4","14","4","52","0.49","0.19","0.96"
Anarhichas lupus,Atlantic wolffish,Anarhichadidae,benthic,species,"10.3","4.2","38.3","0.168","0.081","0.425","0.352","0.214","0.574","17.5","15.4","19.9","44.1","16.0","124.2","6.34","2.34","16.35","0.663","0.266","1.199"
Anarhichas minor,Spotted wolffish,Anarhichadidae,pelagic,species,"8.57","3.24","31.95","0.192","0.088","0.530","0.369","0.226","0.587","17.4","15.3","19.8","45.3","15.5","128.5","8.53","2.93","23.28","0.541","0.219","1.005"
Anguilla anguilla,European eel,Anguillidae,benthic,species,"28.9","14.8","53.4","0.266","0.167","0.450","1.27","0.60","2.81","19.3","18.1","20.5","25.5","11.4","59.0","9.48","1.59","52.87","0.588","0.396","0.895"
Aphanopus carbo,Black scabbardfish,Trichiuridae,pelagic,species,"12.2","6.0","23.2","0.272","0.143","0.576","0.263","0.118","0.569","18","17","19","30.1","12.4","85.1","8.87","1.81","40.04","0.39","0.25","0.59"
Arctogadus glacialis,Arctic cod,Gadidae,pelagic,species,"27","12","60","0.677","0.332","1.328","0.4","0.2","0.8","16.9","15.3","18.4","14.7","6.0","36.1","12.5","2.9","54.0","0.544","0.345","0.847"
